date,Read Type,time,kWh
2022-04-15T00:00:00Z,kWh Consumed,00:00:00,0.06
2022-04-15T00:00:00Z,kWh Consumed,00:15:00,0.07
2022-04-15T00:00:00Z,kWh Consumed,00:30:00,0.05
2022-04-15T00:00:00Z,kWh Consumed,00:45:00,0.09
2022-04-15T00:00:00Z,kWh Consumed,01:00:00,0.08
2022-04-15T00:00:00Z,kWh Consumed,01:15:00,0.09
2022-04-15T00:00:00Z,kWh Consumed,01:30:00,0.08
2022-04-15T00:00:00Z,kWh Consumed,01:45:00,0.08
2022-04-15T00:00:00Z,kWh Consumed,02:00:00,0.05
2022-04-15T00:00:00Z,kWh Consumed,02:15:00,0.07
2022-04-15T00:00:00Z,kWh Consumed,02:30:00,0.05
2022-04-15T00:00:00Z,kWh Consumed,02:45:00,0.07
2022-04-15T00:00:00Z,kWh Consumed,03:00:00,0.05
2022-04-15T00:00:00Z,kWh Consumed,03:15:00,0.08
2022-04-15T00:00:00Z,kWh Consumed,03:30:00,0.08
2022-04-15T00:00:00Z,kWh Consumed,03:45:00,0.09
2022-04-15T00:00:00Z,kWh Consumed,04:00:00,0.08
2022-04-15T00:00:00Z,kWh Consumed,04:15:00,0.09
2022-04-15T00:00:00Z,kWh Consumed,04:30:00,0.05
2022-04-15T00:00:00Z,kWh Consumed,04:45:00,0.06
2022-04-15T00:00:00Z,kWh Consumed,05:00:00,0.05
2022-04-15T00:00:00Z,kWh Consumed,05:15:00,0.06
2022-04-15T00:00:00Z,kWh Consumed,05:30:00,0.05
2022-04-15T00:00:00Z,kWh Consumed,05:45:00,0.06
2022-04-15T00:00:00Z,kWh Consumed,06:00:00,0.08
2022-04-15T00:00:00Z,kWh Consumed,06:15:00,0.12
2022-04-15T00:00:00Z,kWh Consumed,06:30:00,0.13
2022-04-15T00:00:00Z,kWh Consumed,06:45:00,0.09
2022-04-15T00:00:00Z,kWh Consumed,07:00:00,0.08
2022-04-15T00:00:00Z,kWh Consumed,07:15:00,0.14
2022-04-15T00:00:00Z,kWh Consumed,07:30:00,0.07
2022-04-15T00:00:00Z,kWh Consumed,07:45:00,0.09
2022-04-15T00:00:00Z,kWh Consumed,08:00:00,0.09
2022-04-15T00:00:00Z,kWh Consumed,08:15:00,0.18
2022-04-15T00:00:00Z,kWh Consumed,08:30:00,0.32
2022-04-15T00:00:00Z,kWh Consumed,08:45:00,0.11
2022-04-15T00:00:00Z,kWh Consumed,09:00:00,0.1
2022-04-15T00:00:00Z,kWh Consumed,09:15:00,0.11
2022-04-15T00:00:00Z,kWh Consumed,09:30:00,0.08
2022-04-15T00:00:00Z,kWh Consumed,09:45:00,0.13
2022-04-15T00:00:00Z,kWh Consumed,10:00:00,0.13
2022-04-15T00:00:00Z,kWh Consumed,10:15:00,0.13
