date,Read Type,time,kWh
2022-03-26T00:00:00Z,kWh Net,00:00:00,0.22
2022-03-26T00:00:00Z,kWh Net,00:15:00,0.2
2022-03-26T00:00:00Z,kWh Net,00:30:00,0.21
2022-03-26T00:00:00Z,kWh Net,00:45:00,0.2
2022-03-26T00:00:00Z,kWh Net,01:00:00,0.18
2022-03-26T00:00:00Z,kWh Net,01:15:00,0.16
2022-03-26T00:00:00Z,kWh Net,01:30:00,0.17
2022-03-26T00:00:00Z,kWh Net,01:45:00,0.21
2022-03-26T00:00:00Z,kWh Net,02:00:00,0.18
2022-03-26T00:00:00Z,kWh Net,02:15:00,0.1
2022-03-26T00:00:00Z,kWh Net,02:30:00,0.08
2022-03-26T00:00:00Z,kWh Net,02:45:00,0.05
2022-03-26T00:00:00Z,kWh Net,03:00:00,0.07
2022-03-26T00:00:00Z,kWh Net,03:15:00,0.06
2022-03-26T00:00:00Z,kWh Net,03:30:00,0.06
2022-03-26T00:00:00Z,kWh Net,03:45:00,0.07
2022-03-26T00:00:00Z,kWh Net,04:00:00,0.06
2022-03-26T00:00:00Z,kWh Net,04:15:00,0.08
2022-03-26T00:00:00Z,kWh Net,04:30:00,0.17
2022-03-26T00:00:00Z,kWh Net,04:45:00,0.08
2022-03-26T00:00:00Z,kWh Net,05:00:00,0.27
2022-03-26T00:00:00Z,kWh Net,05:15:00,0.52
2022-03-26T00:00:00Z,kWh Net,05:30:00,0.58
2022-03-26T00:00:00Z,kWh Net,05:45:00,0.26
2022-03-26T00:00:00Z,kWh Net,06:00:00,1.23
2022-03-26T00:00:00Z,kWh Net,06:15:00,2.12
2022-03-26T00:00:00Z,kWh Net,06:30:00,0.64
2022-03-26T00:00:00Z,kWh Net,06:45:00,0.65
2022-03-26T00:00:00Z,kWh Net,07:00:00,0.86
2022-03-26T00:00:00Z,kWh Net,07:15:00,0.61
2022-03-26T00:00:00Z,kWh Net,07:30:00,0.33
2022-03-26T00:00:00Z,kWh Net,07:45:00,0.63
2022-03-26T00:00:00Z,kWh Net,08:00:00,0.52
2022-03-26T00:00:00Z,kWh Net,08:15:00,0.23
2022-03-26T00:00:00Z,kWh Net,08:30:00,0.67
2022-03-26T00:00:00Z,kWh Net,08:45:00,0.26
2022-03-26T00:00:00Z,kWh Net,09:00:00,0.47
2022-03-26T00:00:00Z,kWh Net,09:15:00,0.21
2022-03-26T00:00:00Z,kWh Net,09:30:00,0.69
2022-03-26T00:00:00Z,kWh Net,09:45:00,0.08
2022-03-26T00:00:00Z,kWh Net,10:00:00,0.09
2022-03-26T00:00:00Z,kWh Net,10:15:00,0.07
2022-03-26T00:00:00Z,kWh Net,10:30:00,0.05
2022-03-26T00:00:00Z,kWh Net,10:45:00,0.2
2022-03-26T00:00:00Z,kWh Net,11:00:00,0.58
2022-03-26T00:00:00Z,kWh Net,11:15:00,0.55
2022-03-26T00:00:00Z,kWh Net,11:30:00,0.06
2022-03-26T00:00:00Z,kWh Net,11:45:00,0.08
2022-03-26T00:00:00Z,kWh Net,12:00:00,0.19
2022-03-26T00:00:00Z,kWh Net,12:15:00,0.55
2022-03-26T00:00:00Z,kWh Net,12:30:00,0.07
2022-03-26T00:00:00Z,kWh Net,12:45:00,0.52
2022-03-26T00:00:00Z,kWh Net,13:00:00,0.15
2022-03-26T00:00:00Z,kWh Net,13:15:00,0.07
2022-03-26T00:00:00Z,kWh Net,13:30:00,0.58
2022-03-26T00:00:00Z,kWh Net,13:45:00,0.05
2022-03-26T00:00:00Z,kWh Net,14:00:00,0.1
2022-03-26T00:00:00Z,kWh Net,14:15:00,0.12
2022-03-26T00:00:00Z,kWh Net,14:30:00,0.1
2022-03-26T00:00:00Z,kWh Net,14:45:00,0.14
2022-03-26T00:00:00Z,kWh Net,15:00:00,0.11
2022-03-26T00:00:00Z,kWh Net,15:15:00,0.08
2022-03-26T00:00:00Z,kWh Net,15:30:00,0.09
2022-03-26T00:00:00Z,kWh Net,15:45:00,0.21
2022-03-26T00:00:00Z,kWh Net,16:00:00,0.27
2022-03-26T00:00:00Z,kWh Net,16:15:00,0.12
